Node ID: 121347, Name: World War II
Node ID: 1134232, Name: Nazi Germany
Node ID: 1159788, Name: Adolf Hitler
Node ID: 1159783, Name: Nazism
Node ID: 121353, Name: Allies of World War II
Node ID: 1134240, Name: Wehrmacht
Node ID: 771960, Name: Benito Mussolini
Node ID: 1160151, Name: The Holocaust
Node ID: 219418, Name: Fascism
Node ID: 417420, Name: Axis powers
Node ID: 1159790, Name: Nazi Party
Node ID: 1133730, Name: Eastern Front (World War II)
Node ID: 1771933, Name: Tank
Node ID: 1257072, Name: Vichy France
Node ID: 1160154, Name: Gestapo
Node ID: 1160156, Name: Schutzstaffel
Node ID: 1134048, Name: Battle of Stalingrad
Node ID: 119784, Name: Douglas MacArthur
Node ID: 121350, Name: Invasion of Normandy
Node ID: 19437, Name: Operation Overlord
Node ID: 193131, Name: Victory in Europe Day
Node ID: 1159770, Name: Nuremberg Trials
Node ID: 6598, Name: Eugenics
Node ID: 1159771, Name: Heinrich Himmler
Node ID: 1159785, Name: Hermann Gring
Node ID: 179455, Name: Paul von Hindenburg
Node ID: 1133774, Name: Blitzkrieg
Node ID: 218570, Name: Interwar period
Node ID: 1654836, Name: Puppet state
Node ID: 1123960, Name: Aryan
Node ID: 1159902, Name: Munich Agreement
Node ID: 1725162, Name: Normandy landings
Node ID: 842443, Name: Sakhalin
Node ID: 1159776, Name: Joseph Goebbels
Node ID: 163776, Name: Indiana University Press
Node ID: 1654957, Name: Manchukuo
Node ID: 161691, Name: Potsdam Conference
Node ID: 1414085, Name: Battle of the Bulge
Node ID: 218661, Name: Political prisoner
Node ID: 1159789, Name: Sturmabteilung
Node ID: 1159719, Name: Swastika
Node ID: 1134667, Name: Waffen-SS
Node ID: 1160207, Name: Auschwitz concentration camp
Node ID: 120147, Name: Battle of Midway
Node ID: 118157, Name: Operation Torch
Node ID: 1159887, Name: Reichstag fire
Node ID: 219419, Name: Reactionary
Node ID: 1168971, Name: Embargo
Node ID: 1392545, Name: Second Battle of El Alamein
Node ID: 771959, Name: Italian Fascism
Node ID: 1132919, Name: North African Campaign
Node ID: 1134836, Name: Battle of Berlin
Node ID: 1134241, Name: Battle of Moscow
Node ID: 1159784, Name: Albert Speer
Node ID: 116678, Name: Liberation of Paris
Node ID: 1159723, Name: Beer Hall Putsch
Node ID: 1160401, Name: MolotovRibbentrop Pact
Node ID: 1134173, Name: Siege of Leningrad
Node ID: 771880, Name: Italian Social Republic
Node ID: 19439, Name: Military strategy
Node ID: 1159761, Name: Lebensraum
Node ID: 1132955, Name: Karl Dnitz
Node ID: 1159762, Name: Generalplan Ost
Node ID: 1134051, Name: Battle of Kursk
Node ID: 121359, Name: Atlantic Charter
Node ID: 1136027, Name: Strategic bombing
Node ID: 161692, Name: Potsdam Agreement
Node ID: 1133041, Name: Battle of Crete
Node ID: 1654834, Name: Tripartite Pact
Node ID: 1133795, Name: Invasion of Yugoslavia
Node ID: 1160155, Name: Reinhard Heydrich
Node ID: 1159809, Name: Denazification
Node ID: 598896, Name: Militarism
Node ID: 1160214, Name: Nazi crimes against Soviet POWs
Node ID: 1137938, Name: Georgy Zhukov
Node ID: 1159306, Name: Holocaust denial
Node ID: 1134792, Name: Erwin Rommel
Node ID: 1159525, Name: A. J. P. Taylor
Node ID: 1159881, Name: Reichstag (Weimar Republic)
Node ID: 1392562, Name: Battle of Monte Cassino
Node ID: 1159782, Name: Fhrer
Node ID: 117475, Name: Midway Atoll
Node ID: 1133691, Name: Western Allies
Node ID: 1134329, Name: German occupation of Czechoslovakia
Node ID: 117738, Name: Battle of Okinawa
Node ID: 1160166, Name: Adolf Eichmann
Node ID: 103698, Name: Italian resistance movement
Node ID: 1159795, Name: Kristallnacht
Node ID: 1392642, Name: Operation Market Garden
Node ID: 1159722, Name: Mein Kampf
Node ID: 1134050, Name: Heinz Guderian
Node ID: 131350, Name: Armistice between Italy and Allied armed forces
Node ID: 158322, Name: Dieppe Raid
Node ID: 1654540, Name: Generalissimo
Node ID: 1159733, Name: Richard Overy
Node ID: 1160216, Name: Partisan (military)
Node ID: 1159786, Name: Joachim von Ribbentrop
Node ID: 1294331, Name: Enigma machine
Node ID: 1134410, Name: Reichswehr
Node ID: 1635452, Name: Treaty of San Francisco
Node ID: 130657, Name: Regia Marina
Node ID: 1160403, Name: World War II casualties
Node ID: 1160048, Name: Saar (League of Nations)
Node ID: 1654882, Name: SovietJapanese Neutrality Pact
Node ID: 404812, Name: Tehran Conference
Node ID: 1160770, Name: Ethnic Germans
Node ID: 1160385, Name: Anti-Comintern Pact
Node ID: 1159769, Name: Hitler Youth
Node ID: 110806, Name: German colonial empire
Node ID: 1132945, Name: German Instrument of Surrender
Node ID: 117869, Name: Battle of Leyte Gulf
Node ID: 1134448, Name: Battle of Greece
Node ID: 119975, Name: Battle of the Coral Sea
